precdesc,age,aacong,conparty,conperct,conterms,aasenate,senparty,senterms,senperct,aavoter,gen2004,aa2004v,VAP3,BVAP3,bvperct,votperc,NBVAP,nbvote,nbvtpct,Nprecincts100
24 - GRANT,3,0,0,71,5,0,0,1,57.7,86,1553,72,2983,162,.44444445,.52061683,2799,1481,.52911752,.30000001
CAROLEEN,3,0,0,64,0,0,1,4,52.4,108,761,87,1876,180,.48333332,.40565032,1681,674,.4009518,.23999999
SOUTH ALBE,3,0,0,55,3,0,1,3,57.4,14,1036,14,1965,14,1,.52722645,1926,1022,.53063345,.23999999
WACCAMAW,3,0,1,72,4,0,1,14,54.6,156,857,106,1622,257,.41245136,.52836007,1367,751,.54937822,.25999999
MOUNT OLIV,3,0,0,64,0,0,0,7,99,96,1809,77,4120,241,.31950209,.43907768,3698,1732,.46836129,.40000001
0BIDS,3,0,0,59,0,0,0,5,61.8,0,604,0,1149,12,0,.52567452,1102,604,.54809439,.17
MANNS CHAP,3,0,1,64,9,0,1,0,56.2,175,2338,154,3780,323,.47678018,.61851853,3014,2184,.72461843,.23
LOWER HOMI,3,0,0,55,7,0,0,1,66.7,40,4908,36,7936,63,.5714286,.6184476,7556,4872,.64478558,.72000003
SOUTH GRAN,3,0,0,73,10,0,0,1,60.2,74,1357,67,2112,110,.60909092,.64251894,1948,1290,.66221768,.44
SOUTH FORK,3,0,0,71,5,0,1,10,66.59999999999999,2,18,2,28,5,.40000001,.64285713,23,16,.69565219,.059999999
073,3,0,0,59,0,0,0,7,88.2,71,1815,64,2331,96,.66666669,.7786358,2137,1751,.81937295,1.01
EAST INGRA,3,0,1,63,4,0,0,1,57.7,109,1290,90,2911,171,.52631581,.44314668,2385,1200,.50314468,.34
WEST NEW B,3,0,0,71,5,0,1,2,51.7,357,2545,308,3777,478,.64435148,.67381519,3302,2237,.67746818,.27000001
YANCEYVILL,3,0,1,59,1,0,0,5,57.8,711,1279,548,3583,1773,.30908066,.35696343,1800,731,.40611112,.11
075,3,0,0,59,0,0,0,7,88.2,11,433,10,689,14,.71428573,.628447,646,423,.65479875,1.01
HTOP,3,0,1,63,4,0,1,6,53.9,317,467,270,918,427,.6323185,.50871462,484,197,.4070248,.16
BACK CREEK,3,0,0,73,10,0,0,1,64.7,16,1649,15,3094,32,.46875,.53296703,2946,1634,.55465037,.40000001
FARMINGTON,3,0,0,59,0,0,0,1,60.2,50,1398,42,2467,89,.47191012,.56668019,2194,1356,.6180492,.14
EAST HAVEL,3,0,0,71,5,0,1,2,51.7,596,2211,460,5903,1296,.35493827,.37455532,4610,1751,.37982646,.27000001
HUDSON #1,3,0,0,64,0,0,0,9,99,3,1800,3,3292,7,.42857143,.54678005,3229,1797,.55651903,.23999999
PCT 85,3,0,0,70,5,0,0,4,65.2,292,1560,240,3098,451,.5321508,.50355065,2403,1320,.54931337,1.9
PROSPECT H,3,0,1,59,1,0,0,5,57.8,74,458,61,765,119,.51260507,.59869283,643,397,.61741835,.11
CAPE CARTE,3,0,0,71,5,0,1,2,51.7,2,1441,2,2128,8,.25,.67716163,2030,1439,.70886701,.34
WILSONS MI,3,0,1,63,4,0,0,1,57.7,249,1255,214,2339,300,.71333331,.5365541,1775,1041,.58647889,.34
003,3,0,0,55,3,0,0,1,66.7,139,608,119,2449,441,.26984128,.2482646,1642,489,.29780754,.46000001
PCT 238,3,0,0,70,5,0,0,1,54.6,365,1683,307,4504,702,.43732193,.37366784,3451,1376,.398725,1.9
CHAMBERSBU,3,0,0,59,0,0,0,1,68,514,2724,437,6054,958,.45615867,.44995046,4600,2287,.49717391,.28999999
14 - NEW H,3,0,0,71,5,0,0,1,50.9,153,1775,133,2417,221,.60180998,.73438144,2179,1642,.75355667,.30000001
WILLIAMS 2,3,0,1,72,4,0,1,14,54.6,11,709,8,1435,58,.13793103,.49407667,1379,701,.50833941,.25999999
EASTSIDE,3,0,1,64,9,0,1,4,65.7,88,1060,72,1654,159,.4528302,.64087063,1474,988,.67028493,.43000001
02-02,3,0,0,55,3,0,0,7,66.2,191,1866,164,2983,325,.50461537,.62554473,2405,1702,.70769233,.43000001
HR17,3,0,0,71,5,0,1,1,51.8,26,462,22,1157,81,.27160493,.39930856,1047,440,.42024833,.23
LANDERS CH,3,0,0,70,5,0,1,6,53,54,983,49,2491,92,.53260869,.39462063,2353,934,.39694008,.46000001
08,3,0,0,55,3,0,1,3,57.4,190,626,151,1766,424,.35613209,.35447338,1334,475,.35607198,.1
LAWSONVILL,3,0,0,59,0,0,0,4,61.2,1,898,1,1605,12,.083333336,.55950153,1574,897,.56988567,.2
BRADSHAW,3,0,0,64,0,0,1,1,49,0,241,0,428,0,,.56308413,425,241,.5670588,.090000004
OCRACOKE,3,0,0,71,5,0,1,10,66.59999999999999,2,474,2,638,11,.18181819,.74294668,657,472,.71841705,.07
BREVARD #4,3,0,0,55,7,0,0,8,56.5,26,1026,19,1802,78,.24358974,.56936735,1715,1007,.58717203,.18000001
05,2,0,1,64,9,0,1,0,56.2,873,2487,681,9647,2618,.26012224,.25780034,6583,1806,.27434301,.55000001
GRIMESDALE,3,0,0,55,7,0,0,1,66.7,27,779,23,1515,60,.38333333,.51419145,1368,756,.55263156,.34999999
SOUTHERN S,3,0,0,71,5,0,1,10,66.59999999999999,4,2033,3,2319,4,.75,.87667096,2085,2030,.97362113,.16
PEACHLAND,3,0,0,55,3,0,1,3,57.4,145,713,68,1463,188,.36170211,.48735476,1283,645,.50272799,.11
WEST BANNE,3,0,1,63,4,0,0,1,57.7,108,1103,63,2146,204,.30882353,.51397949,1690,1040,.61538464,.34
MASON FARM,1,0,1,64,9,0,1,4,65.7,278,1076,212,2683,309,.68608415,.40104359,2341,864,.36907303,.43000001
DALLAS #2,3,0,0,70,5,0,1,6,53,30,1392,26,3700,179,.14525139,.3762162,3452,1366,.39571264,.46000001
HIGH SHOAL,3,0,0,70,5,0,1,6,53,59,1393,46,3057,86,.53488374,.45567551,2914,1347,.46225119,.46000001
CENTRAL BO,3,0,0,73,10,0,0,5,57.8,76,1635,51,2087,82,.62195122,.78342116,1904,1584,.83193278,.37
WHITEVILLE,3,0,1,72,4,0,1,14,54.6,751,1985,600,3890,1273,.47132757,.51028275,2620,1385,.52862597,.25999999
BELMONT #1,3,0,0,70,5,0,1,6,53,123,1404,94,2686,205,.4585366,.52271032,2433,1310,.53842992,.46000001
ANTIOCH,3,0,0,59,0,0,0,5,61.8,28,412,20,819,56,.35714287,.50305253,748,392,.52406418,.28999999
FLINT GROV,3,0,0,70,5,0,1,6,53,155,1502,119,4452,295,.40338984,.33737645,4077,1383,.33922002,.46000001
NCLAY2,3,0,0,73,10,0,0,2,84.7,28,945,25,1433,36,.69444442,.65945572,1344,920,.68452382,1.59
CLIFFSIDE,3,0,0,64,0,0,1,4,52.4,8,644,7,1613,31,.22580644,.39925605,1567,637,.40650925,.23999999
NORTH ST P,3,0,1,72,4,0,1,4,99,495,1102,373,3286,1119,.33333334,.33536214,2114,729,.34484389,.41
EAST POCKE,3,0,1,63,4,0,1,0,56.2,111,1256,99,2035,141,.70212764,.617199,1904,1157,.60766804,.13
LTOXQUEBSW,3,0,0,55,7,0,0,8,56.5,1,969,1,1552,3,.33333334,.62435567,1541,968,.62816352,.18000001
STEELES #1,3,0,0,55,3,0,1,3,57.4,67,105,56,220,129,.43410853,.47727272,91,49,.53846157,.16
DALLAS #1,3,0,0,70,5,0,1,6,53,370,1795,275,4177,648,.42438272,.42973426,3461,1520,.43917942,.46000001
SOUTH GAST,3,0,0,70,5,0,1,6,53,354,2201,295,6278,638,.46238244,.35058936,5530,1906,.34466547,.46000001
BETHANY,3,0,0,59,0,0,0,1,68,163,2751,138,4455,257,.53696495,.61750841,3790,2613,.68944591,.28999999
TRIANGLE E,3,0,0,64,0,0,0,1,68,12,1088,10,1630,22,.45454547,.66748464,1515,1078,.71155113,.28999999
H04,3,0,1,72,4,0,0,0,65.09999999999999,107,1950,88,4094,219,.40182647,.4763068,3587,1862,.51909673,.46000001
BLACKWELDE,3,0,0,73,10,0,0,1,60.2,266,676,215,1664,519,.41425818,.40625,1114,461,.41382405,.44
CHEEKS,3,0,1,64,9,0,1,4,65.7,637,2111,566,3824,909,.62266225,.55203974,2875,1545,.5373913,.43000001
TRADING FO,3,0,0,73,10,0,0,1,60.2,50,806,43,1578,112,.38392857,.51077312,1426,763,.53506309,.44
MORGAN #2,3,0,0,73,10,0,0,1,60.2,1,846,1,1770,12,.083333336,.4779661,1710,845,.49415204,.44
801,3,0,0,59,0,0,0,7,88.2,43,904,35,1278,64,.546875,.70735526,1161,869,.74849266,1.01
MOUNTAIN,3,0,0,55,7,0,0,8,56.5,2,158,1,362,11,.090909094,.4364641,334,157,.47005987,.18000001
BARNHARDT,3,0,0,73,10,0,0,1,60.2,12,965,11,1776,22,.5,.54335588,1707,954,.5588752,.44
YORK CHEST,3,0,0,70,5,0,1,6,53,83,632,70,1501,177,.39548022,.42105263,1298,562,.4329738,.46000001
ROBINSON #,3,0,0,70,5,0,1,6,53,692,4343,546,7771,987,.55319148,.55887276,6652,3797,.57080579,.46000001
RAVEN ROCK,3,0,0,55,7,0,0,1,66.7,0,514,0,854,2,0,.60187352,801,514,.64169788,.34999999
OAKLAND,3,0,1,63,4,0,1,0,56.2,139,601,116,939,173,.67052025,.6400426,668,485,.72604793,.23
ASHEBORO N,3,0,0,73,10,0,0,1,64.7,116,1721,100,3111,152,.65789473,.55319834,2848,1621,.56917137,.40000001
HORSE SHOE,3,0,0,55,7,0,0,1,66.7,5,1318,5,2114,20,.25,.62346262,1968,1313,.66717482,.34999999
MT VERNON,3,0,0,64,0,0,1,4,52.4,8,737,6,1619,45,.13333334,.45521927,1559,731,.46889031,.23999999
BELMONT #3,3,0,0,70,5,0,1,6,53,41,864,31,2720,116,.26724139,.31764707,2553,833,.3262828,.46000001
PCT 123,3,0,0,55,3,0,1,3,99,691,1178,618,2037,808,.76485151,.57830143,1116,560,.50179213,1.9
PCT 51,3,0,0,70,5,0,1,3,99,191,1718,156,3833,355,.43943661,.44821289,3157,1562,.49477351,1.9
UPPER HOMI,3,0,0,55,7,0,0,1,66.7,36,6281,31,11671,44,.70454544,.53817153,11158,6250,.5601362,.72000003
NORTH CLEV,3,0,1,63,4,0,0,1,57.7,316,3027,272,3849,363,.74931127,.78643805,3034,2755,.90804219,.34
SOUTH WHIT,3,0,1,72,4,0,1,14,54.6,259,1189,192,3082,916,.20960699,.38578844,2168,997,.45987085,.25999999
MILLSHOAL,3,0,0,55,7,0,0,8,56.5,0,1173,0,1945,2,0,.60308486,1895,1173,.61899734,.15000001
GARLAND,3,0,1,63,4,0,1,6,54.5,429,791,383,1727,754,.50795758,.45801967,941,408,.43358129,.23
MOREHEAD 2,3,0,0,71,5,0,1,2,51.7,251,2159,190,3272,337,.56379825,.65984106,2810,1969,.70071173,.34
TRYON ,3,0,0,64,0,0,1,6,53,79,876,61,2522,143,.42657343,.34734339,2333,815,.34933561,.46000001
LOWER CREE,3,0,0,64,0,0,0,9,99,456,5491,349,9804,780,.44743589,.56007755,8870,5142,.57970685,.23999999
PCT 225,3,0,0,70,5,0,0,4,65.2,67,847,51,1815,93,.54838711,.46666667,1563,796,.50927705,1.9
STUMPY POI,3,0,0,71,5,0,1,10,66.59999999999999,0,88,0,181,0,,.48618785,163,88,.5398773,.16
G16,3,0,0,73,10,0,1,3,56.2,23,1160,17,1374,26,.65384614,.84425038,1298,1143,.88058549,1.59
CANETUCK,3,0,1,72,4,0,1,14,54.6,98,144,76,306,140,.54285717,.47058824,152,68,.44736841,.17
MANNS HARB,3,0,0,71,5,0,1,10,66.59999999999999,2,311,1,693,10,.1,.44877344,615,310,.50406504,.16
BADIN,3,0,0,55,3,0,1,3,57.4,259,815,211,1968,813,.2595326,.41412601,1140,604,.52982455,.23999999
EASTOVER #,3,0,1,72,4,0,1,8,63.4,727,2452,595,4746,1170,.50854701,.51664561,3511,1857,.52890915,.64999998
IOTLA,3,0,0,55,7,0,0,8,56.5,5,850,2,1539,7,.2857143,.55230671,1494,848,.56760377,.15000001
COLINGTON,3,0,0,71,5,0,1,10,66.59999999999999,2,1614,2,2883,16,.125,.55983353,2583,1612,.62408054,.16
028Y,3,0,0,70,5,0,0,1,66.7,832,2098,622,4100,1017,.61160272,.51170731,2521,1476,.58548194,.46000001
BOGUE,3,0,1,72,4,0,1,14,54.6,454,1144,332,2048,598,.55518395,.55859375,1451,812,.55961406,.25999999
WILSON J,3,0,0,71,5,0,1,2,60.1,504,1773,435,3015,590,.73728812,.58805972,2356,1338,.56791174,.25
MANTEO,3,0,0,71,5,0,1,10,66.59999999999999,289,2529,225,4379,539,.4174397,.57752913,3459,2304,.66608846,.16
RAEFORD #5,3,0,0,55,3,0,1,4,99,618,480,468,981,922,.5075922,.48929664,51,12,.23529412,.13
LOCKLIN,3,0,1,72,4,0,1,6,54.5,44,258,38,512,77,.49350649,.50390625,413,220,.53268766,.19
NORTH BEUL,3,0,1,63,4,0,0,1,57.7,120,670,100,1439,223,.44843048,.46560112,1059,570,.53824365,.34
TRENT WOOD,3,0,0,71,5,0,1,2,51.7,33,2636,28,3192,35,.80000001,.82581455,3159,2608,.82557774,.27000001
25 - MT. O,3,0,0,71,5,0,0,1,50.9,245,1271,200,2674,591,.33840948,.47531787,2067,1071,.51814222,.30000001
HATTERAS,3,0,0,71,5,0,1,10,66.59999999999999,0,297,0,561,0,,.52941179,505,297,.58811879,.16
705,3,0,0,59,0,0,1,3,99,289,1210,255,2428,406,.62807882,.49835256,1934,955,.49379525,1.01
001,3,0,0,55,3,0,0,1,66.7,217,498,174,3243,730,.23835616,.15356152,2055,324,.15766424,.46000001
CROWDERS M,3,0,0,64,0,0,1,6,53,224,1554,162,3588,276,.5869565,.43311036,3247,1392,.42870343,.46000001
PCT 67,3,0,0,70,5,0,0,4,65.2,35,1167,31,1681,39,.79487181,.6942296,1491,1136,.76190478,1.9
MANNINGS N,3,0,1,63,4,0,1,2,60.1,938,2327,811,4103,1532,.52937335,.567146,2486,1516,.60981494,.25999999
IRON STATI,3,0,0,64,0,0,0,1,68,431,2494,369,3851,457,.8074398,.64762402,3199,2125,.6642701,.28999999
39,3,0,1,64,9,0,1,0,56.2,454,2309,400,2931,539,.74211502,.78778571,2240,1909,.85223216,.55000001
04 - PIKEV,3,0,0,71,5,0,0,1,57.7,242,1901,204,3260,405,.50370371,.58312881,2832,1697,.59922314,.30000001
SEA LEVEL,3,0,0,71,5,0,1,2,51.7,0,164,0,419,2,0,.39140812,399,164,.41102758,.34
BONLEE,3,0,1,63,4,0,1,0,56.2,150,877,119,1654,255,.46666667,.53022975,1220,758,.62131149,.23
MOORESBORO,3,0,0,64,0,0,1,4,52.4,76,906,65,1627,119,.54621851,.55685312,1482,841,.56747639,.28
NORTH THOM,3,0,0,73,10,0,0,5,57.8,282,1105,196,1817,354,.55367231,.6081453,1389,909,.65442765,.37
UNION,3,0,1,72,4,0,1,4,99,236,716,184,1961,426,.43192488,.36511984,1497,532,.35537744,.41
W17,3,0,1,72,4,0,0,0,65.09999999999999,228,1535,194,2146,329,.58966565,.71528423,1682,1341,.79726517,.46000001
ELK,3,0,0,59,0,0,0,5,61.8,0,266,0,489,2,0,.54396731,472,266,.56355929,.17
014,3,0,0,59,0,0,0,7,88.2,65,1323,55,2151,85,.64705884,.61506277,1976,1268,.64170039,1.01
707,3,0,0,59,0,0,0,7,88.2,122,808,105,1745,360,.29166666,.46303725,1325,703,.53056604,1.01
PINE HALL,3,0,0,59,0,0,0,4,61.2,101,554,90,1138,173,.52023119,.48681897,954,464,.48637316,.2
PCT 45,3,0,0,55,3,0,1,3,99,317,916,246,3382,943,.26086956,.27084565,2213,670,.30275643,1.9
KITTY HAWK,3,0,0,71,5,0,1,10,66.59999999999999,10,1562,9,2605,16,.5625,.59961611,2333,1553,.66566652,.16
PINEBLUFF,3,0,0,73,10,0,0,1,54.4,283,1044,236,2361,614,.38436481,.44218552,1640,808,.49268293,.23999999
TRINITY WE,3,0,0,73,10,0,0,1,64.7,32,1840,26,3533,50,.51999998,.52080387,3352,1814,.54116946,.40000001
WOODARDS P,3,0,0,71,5,0,1,10,66.59999999999999,51,881,44,1514,61,.72131145,.58190227,1427,837,.58654523,.20999999
CANADA,3,0,0,55,7,0,0,8,56.5,1,276,0,468,2,0,.58974361,443,276,.62302482,.18000001
CG3A,3,0,1,59,1,0,1,3,56.2,432,2744,144,5444,526,.27376425,.50404114,4734,2600,.54921842,1.59
FLETCHER,3,0,0,55,7,0,0,1,66.7,47,1685,39,3390,101,.38613862,.49705014,3092,1646,.53234154,.34999999
PCT 4,3,0,0,55,3,0,1,3,99,688,1314,583,2611,875,.66628569,.50325549,1576,731,.4638325,1.9
LENOIR #29,3,0,0,64,0,0,0,9,99,154,1652,130,4516,353,.36827195,.36581045,4092,1522,.37194526,.23999999
RIVER ROAD,3,0,0,71,5,0,1,10,66.59999999999999,190,1197,146,2364,513,.28460038,.50634515,1818,1051,.57810783,.20999999
14,3,0,0,70,5,0,0,1,66.7,47,835,44,2053,94,.46808511,.40672186,1602,791,.49375781,.46000001
PCT 58,3,0,0,70,5,0,0,4,65.2,114,768,96,1604,172,.55813956,.47880298,1300,672,.51692307,1.9
WHITE CROS,3,0,1,64,9,0,1,4,65.7,205,1167,180,1872,294,.6122449,.62339741,1556,987,.63431877,.43000001
MINGO,3,0,1,72,4,0,1,6,54.5,183,1299,151,2733,510,.29607844,.47530186,2150,1148,.53395349,.23
BANNER ELK,3,0,0,64,0,0,1,1,49,10,1277,4,2274,40,.1,.56156552,2159,1273,.58962482,.19
12-05,3,0,0,55,3,0,0,7,66.2,35,1362,27,2163,96,.28125,.62968099,1870,1335,.71390373,.43000001
WILSON M,3,0,0,71,5,0,1,2,60.1,684,2287,617,3339,916,.67358077,.68493563,2354,1670,.70943075,.25
SUGAR LOAF,3,0,0,59,0,0,0,5,61.8,1,575,1,976,5,.2,.58913934,938,574,.61194032,.16
SCOTTS CRE,3,0,0,55,7,0,0,8,56.5,4,920,3,1610,8,.375,.5714286,1524,917,.60170603,.18000001
CRANBERRY,3,0,0,64,0,0,1,1,49,0,236,0,444,1,0,.53153151,428,236,.55140185,.19
COOPERS GA,3,0,0,55,7,0,0,1,66.7,3,721,3,1463,10,.30000001,.49282297,1406,718,.51066858,.090000004
ARRAN HILL,3,0,0,55,3,0,1,8,63.4,914,1475,768,3372,1407,.54584223,.43742585,1929,707,.36651114,.64999998
CROSSROADS,3,0,0,71,5,0,1,2,60.1,245,1346,210,2761,429,.48951048,.48750454,2266,1136,.50132394,.25
16,3,0,1,64,9,0,1,0,56.2,377,1438,312,2488,558,.55913979,.57797426,1807,1126,.62313229,.55000001
NORTH CREE,3,0,0,71,5,0,1,10,66.59999999999999,102,790,78,1462,165,.47272727,.54035568,1274,712,.55886972,.20999999
PCT 63,3,0,0,55,3,0,1,3,99,593,1022,484,3051,1089,.44444445,.33497214,1781,538,.30207747,1.9
GADDYS,3,0,1,72,4,0,1,4,99,127,349,96,927,230,.4173913,.37648329,680,253,.37205881,.41
RICHLAND,3,0,0,73,10,0,0,1,64.7,67,1372,54,2778,174,.31034482,.49388048,2506,1318,.52593774,.40000001
BRASSMURPS,3,0,0,55,7,0,0,8,56.5,8,1148,3,2614,43,.069767445,.43917367,2480,1145,.46169356,.16
BOGER CITY,3,0,0,64,0,0,0,1,68,92,687,73,2061,258,.28294572,.33333334,1700,614,.36117646,.28999999
SPRING HIL,3,0,0,71,5,0,1,2,60.1,294,1049,246,2099,514,.47859922,.49976179,1540,803,.52142859,.25
ROXBORO 1,3,0,1,59,1,0,1,4,65.7,678,1084,547,2519,1246,.43900481,.4303295,1232,537,.43587664,.14
ROWLAND,3,0,1,72,4,0,1,4,99,689,878,479,1905,892,.53699553,.46089238,989,399,.40343782,.41
WEST WHITE,3,0,1,72,4,0,1,14,54.6,450,1197,369,2060,710,.51971829,.58106798,1351,828,.61287934,.25999999
LEVEL CROS,3,0,0,73,10,0,0,1,64.7,108,1222,87,2985,212,.41037735,.40938023,2668,1135,.4254123,.40000001
VASS,3,0,0,73,10,0,0,1,54.4,138,1004,113,2424,280,.40357143,.41419142,2013,891,.44262296,.23999999
ASHEBORO E,3,0,0,73,10,0,0,1,64.7,526,1169,452,3037,1104,.40942028,.38491932,1860,717,.38548386,.40000001
RIPPY,3,0,0,64,0,0,1,4,52.4,405,1899,364,4165,658,.55319148,.45594236,3447,1535,.44531476,.28
BEREA,3,0,1,59,1,0,1,6,53.9,382,980,325,1851,659,.49317148,.52944356,1099,655,.59599638,.14
HUNTSVILLE,3,0,0,59,0,0,0,2,84.7,84,1918,71,3993,166,.42771083,.4803406,3804,1847,.48554152,.31
FALLSTOWN,3,0,0,64,0,0,0,1,68,372,3389,323,5425,659,.49013656,.62470049,4302,3066,.71269178,.28999999
607,3,0,0,59,0,0,1,3,99,166,1469,147,2216,235,.62553191,.66290611,1894,1322,.69799364,1.01
BOSTIAN SC,3,0,0,73,10,0,0,1,60.2,6,937,5,1521,20,.25,.61604208,1461,932,.63791925,.44
PLEASGRADEN,3,0,0,55,7,0,1,1,49,17,1295,13,1672,17,.7647059,.77452153,1704,1282,.75234741,.17
SIMPSON B,3,0,0,71,5,0,1,1,66.7,313,1601,264,2707,523,.50478011,.59142965,2083,1337,.64186269,.38
REELSBORO,3,0,0,71,5,0,1,2,51.7,98,738,76,1366,137,.55474454,.54026353,1242,662,.53301126,.079999998
MICRO,3,0,1,63,4,0,0,1,57.7,99,926,86,2157,244,.35245901,.42929995,1666,840,.50420171,.34
UNION,3,0,0,55,7,0,1,4,52.4,3,739,2,1234,12,.16666667,.59886545,1211,737,.60858792,.23999999
NORTH WILK,3,0,0,59,0,0,0,5,61.8,179,1274,136,3198,413,.32929781,.39837399,2732,1138,.41654465,.28999999
GIBBS WOOD,3,0,0,71,5,0,1,10,66.59999999999999,0,176,0,386,1,0,.45595855,320,176,.55000001,.11
STATESVILL,3,0,0,59,0,0,0,1,68,2924,10524,2440,23588,6191,.39412048,.44615906,15705,8084,.51474053,.28999999
RENNERT,3,0,1,72,4,0,1,4,99,81,402,61,1805,138,.442029,.22271468,1626,341,.20971709,.41
PCT 57,3,0,0,70,5,0,0,4,65.2,94,1417,72,2243,121,.59504133,.63174319,1926,1345,.69833851,1.9
G49,2,0,1,59,1,0,1,3,56.2,376,615,257,1968,687,.37409025,.3125,1233,358,.29034874,1.59
GRANTHAM,3,0,0,71,5,0,1,2,51.7,527,1925,412,5265,931,.44253492,.36562204,4337,1513,.34885865,.27000001
PCT 48,3,0,0,70,5,0,0,4,65.2,14,1384,9,2327,68,.13235295,.5947572,2050,1375,.67073172,1.9
WEST POCKE,3,0,1,63,4,0,1,0,56.2,154,827,126,1192,258,.48837209,.69379193,939,701,.74653888,.13
PCT 36,3,0,0,70,5,0,0,4,65.2,82,1752,55,2940,149,.36912751,.59591836,2533,1697,.66995656,1.9
CHERRY GRO,3,0,1,72,4,0,1,14,54.6,10,225,3,523,24,.125,.43021032,500,222,.44400001,.25999999
SOUTH GRAH,3,0,0,73,10,0,0,5,57.8,274,1590,167,3108,361,.46260387,.51158303,2608,1423,.54562885,.37
EAST KING,3,0,0,59,0,0,0,4,61.2,16,1958,15,3091,36,.41666666,.63345194,3019,1943,.64359057,.2
CL10,3,0,0,71,5,0,1,1,51.8,36,783,30,1693,42,.71428573,.46249261,1606,753,.46886674,.23
W14,3,0,1,72,4,0,0,0,65.09999999999999,31,941,26,1714,58,.44827586,.54900819,1533,915,.59686887,.46000001
HARRELLS,3,0,1,63,4,0,1,6,54.5,780,1019,649,2205,1317,.49278665,.46213153,859,370,.43073341,.23
SOUTH ST P,3,0,1,72,4,0,1,4,99,283,959,218,2704,676,.32248521,.35465977,1978,741,.37462083,.41
EAST FRANK,3,0,0,55,7,0,0,8,56.5,13,1412,10,2152,34,.29411766,.65613383,2066,1402,.67860597,.15000001
MT AIRY #5,3,0,0,59,0,0,0,4,61.2,95,891,70,2656,277,.25270757,.33546686,2344,821,.35025597,.28999999
FURR NUMBE,3,0,0,55,3,0,1,3,57.4,28,3310,24,5779,55,.43636364,.57276344,5652,3286,.5813871,.23999999
SOUTHMILLS,3,0,0,71,5,0,1,10,66.59999999999999,280,1264,220,2181,426,.51643193,.57955068,1441,1044,.7244969,.029999999
W08,3,0,1,72,4,0,0,0,65.09999999999999,315,884,243,2522,968,.25103307,.35051546,1439,641,.44544822,.46000001
WB,3,0,1,72,4,0,0,0,65.09999999999999,4,1443,2,2523,9,.22222222,.57193816,2328,1441,.61898625,.46000001
CECIL,3,0,0,55,7,0,0,8,56.5,0,236,0,362,0,,.65193373,348,236,.67816091,.28999999
SANDY CREE,3,0,1,63,4,0,1,6,53.9,489,975,421,2186,975,.43179488,.44602013,1078,554,.51391464,.17
SHILOH,3,0,0,71,5,0,1,10,66.59999999999999,122,950,83,1792,202,.41089109,.5301339,1306,867,.66385913,.029999999
LAUREL CRE,3,0,0,59,0,0,0,5,61.8,2,649,2,1128,3,.66666669,.57535464,1133,647,.57105029,.2
HUDSON #2,3,0,0,64,0,0,0,9,99,5,1263,5,3092,90,.055555556,.40847349,2951,1258,.42629617,.23999999
WEST SANFO,3,0,1,63,4,0,1,0,56.2,975,5487,790,9130,1400,.5642857,.60098577,7771,4697,.60442674,.13
MIDDLE HOL,3,0,1,72,4,0,1,14,54.6,4,183,4,338,12,.33333334,.5414201,298,179,.60067111,.17
MORGAN #1,3,0,0,73,10,0,0,1,60.2,4,486,4,892,7,.5714286,.54484308,861,482,.55981416,.44
DENVER WES,3,0,0,64,0,0,0,1,68,89,1046,76,1572,134,.56716418,.66539443,1356,970,.71533924,.28999999
CULLOWHEE,2,0,0,55,7,0,0,8,56.5,107,2049,76,6099,332,.22891566,.33595672,5486,1973,.35964271,.18000001
PCT 137,3,0,0,70,5,0,0,4,65.2,135,2628,114,2980,149,.76510066,.88187921,2570,2514,.97821009,1.9
W21,3,0,1,72,4,0,0,0,65.09999999999999,128,2091,98,3789,220,.44545454,.55186063,3304,1993,.60320824,.46000001
GLENWOOD,3,0,1,64,9,0,1,4,65.7,43,1275,30,1570,81,.37037036,.8121019,1468,1245,.84809262,.43000001
CHICAMACOM,3,0,0,71,5,0,1,10,66.59999999999999,0,300,0,527,2,0,.56925994,473,300,.63424945,.16
G30,3,0,0,73,10,0,1,3,56.2,68,1239,57,1583,71,.80281693,.78269112,1456,1182,.81181318,1.59
W23,3,0,1,72,4,0,0,0,65.09999999999999,42,697,38,1532,87,.43678162,.45496082,1337,659,.49289453,.46000001
PCT 15,3,0,0,55,3,0,1,3,99,261,1666,182,3235,605,.30082646,.5149923,2387,1484,.62170088,1.9
PCT 208,3,0,0,70,5,0,0,1,54.6,76,2607,59,3751,102,.57843137,.69501466,3311,2548,.76955605,1.9
PCT 66,3,0,0,70,5,0,1,3,99,79,1095,67,1679,87,.77011496,.65217394,1445,1028,.71141869,1.9
PCT 116,3,0,0,70,5,0,1,3,99,674,922,567,1904,877,.64652222,.48424369,932,355,.38090128,1.9
MORAVIAN F,3,0,0,59,0,0,0,5,61.8,22,1174,18,2186,91,.1978022,.537054,2055,1156,.5625304,.28999999
ANSONVILLE,3,0,0,55,3,0,1,3,57.4,419,672,239,1238,500,.47799999,.54281098,742,433,.58355796,.11
BOLINGSPG,3,0,0,64,0,0,1,4,52.4,177,1877,140,4202,441,.31746033,.44669205,3697,1737,.46984041,.28
EUREKA,3,0,0,73,10,0,0,1,54.4,30,1981,22,2621,39,.56410259,.75581837,2424,1959,.80816829,.23999999
RAEFORD #2,3,0,0,55,3,0,1,4,99,230,510,165,1222,426,.38732395,.41734862,687,345,.50218338,.13
